Time,Voltage,
0.01704,-56.9532,
0.01706,-56.9665,
0.01708,-56.9821,
0.0171,-57.0001,
0.01712,-57.0207,
0.01714,-57.0438,
0.01716,-57.0693,
0.01718,-57.0971,
0.0172,-57.1268,
0.01722,-57.1579,
0.01724,-57.19,
0.01726,-57.2223,
0.01728,-57.2542,
0.0173,-57.285,
0.01732,-57.3142,
0.01734,-57.3411,
0.01736,-57.3655,
0.01738,-57.3873,
0.0174,-57.4064,
0.01742,-57.4231,
0.01744,-57.4378,
0.01746,-57.451,
0.01748,-57.4632,
0.0175,-57.4748,
0.01752,-57.4864,
0.01754,-57.4983,
0.01756,-57.5106,
0.01758,-57.5234,
0.0176,-57.5367,
0.01762,-57.5502,
0.01764,-57.5638,
0.01766,-57.5772,
0.01768,-57.5903,
0.0177,-57.6032,
0.01772,-57.6157,
0.01774,-57.6282,
0.01776,-57.6407,
0.01778,-57.6534,
0.0178,-57.6667,
0.01782,-57.6806,
0.01784,-57.6952,
0.01786,-57.7103,
0.01788,-57.7258,
0.0179,-57.7414,
0.01792,-57.7568,
0.01794,-57.7716,
0.01796,-57.7855,
0.01798,-57.7983,
0.018,-57.8099,
0.01802,-57.8205,
0.01804,-57.8302,
0.01806,-57.8394,
0.01808,-57.8482,
0.0181,-57.857,
0.01812,-57.866,
0.01814,-57.8751,
0.01816,-57.8843,
0.01818,-57.8931,
0.0182,-57.901,
0.01822,-57.9073,
0.01824,-57.9112,
0.01826,-57.9121,
0.01828,-57.9094,
0.0183,-57.9026,
0.01832,-57.8917,
0.01834,-57.8767,
0.01836,-57.8583,
0.01838,-57.837,
0.0184,-57.8136,
0.01842,-57.7891,
0.01844,-57.7644,
0.01846,-57.74,
0.01848,-57.7166,
0.0185,-57.6943,
0.01852,-57.6731,
0.01854,-57.6525,
0.01856,-57.6321,
0.01858,-57.6111,
0.0186,-57.5889,
0.01862,-57.5648,
0.01864,-57.5383,
0.01866,-57.5092,
0.01868,-57.4776,
0.0187,-57.4436,
0.01872,-57.408,
0.01874,-57.3713,
0.01876,-57.3344,
0.01878,-57.2982,
0.0188,-57.2634,
0.01882,-57.2306,
0.01884,-57.2005,
0.01886,-57.1732,
0.01888,-57.1489,
0.0189,-57.1276,
0.01892,-57.1089,
0.01894,-57.0927,
0.01896,-57.0785,
0.01898,-57.0658,
0.019,-57.0542,
0.01902,-57.0433,
0.01904,-57.0327,
0.01906,-57.0218,
0.01908,-57.0103,
0.0191,-56.9979,
0.01912,-56.9843,
0.01914,-56.9692,
0.01916,-56.9526,
0.01918,-56.9342,
0.0192,-56.9144,
0.01922,-56.8933,
0.01924,-56.8711,
0.01926,-56.8484,
0.01928,-56.8257,
0.0193,-56.8037,
0.01932,-56.7829,
0.01934,-56.7641,
0.01936,-56.7478,
0.01938,-56.7344,
0.0194,-56.7243,
0.01942,-56.7177,
0.01944,-56.7145,
0.01946,-56.7145,
0.01948,-56.7175,
0.0195,-56.7227,
0.01952,-56.7297,
0.01954,-56.7375,
0.01956,-56.7455,
0.01958,-56.7527,
0.0196,-56.7585,
0.01962,-56.7623,
0.01964,-56.7635,
0.01966,-56.762,
0.01968,-56.7577,
0.0197,-56.7509,
0.01972,-56.7421,
0.01974,-56.732,
0.01976,-56.7213,
0.01978,-56.7111,
0.0198,-56.7022,
0.01982,-56.6956,
0.01984,-56.6919,
0.01986,-56.6915,
0.01988,-56.6949,
0.0199,-56.7018,
0.01992,-56.7121,
0.01994,-56.7253,
0.01996,-56.7408,
0.01998,-56.7578,
0.02,-56.7756,
