Time,Voltage,Raw_Voltage
0.01212,-54.7158,-54.6864
0.01214,-54.5373,-54.5613
0.01216,-54.3493,-54.3736
0.01218,-54.1525,-54.2484
0.0122,-53.9498,-54.0294
0.01222,-53.7461,-53.9043
0.01224,-53.5477,-53.7166
0.01226,-53.3621,-53.5289
0.01228,-53.1961,-53.4037
0.0123,-53.0549,-53.0909
0.01232,-52.9402,-52.9657
0.01234,-52.849,-52.6842
0.01236,-52.7728,-52.6216
0.01238,-52.6979,-52.4652
0.0124,-52.6062,-52.34
0.01242,-52.4775,-52.0585
0.01244,-52.2924,-51.683
0.01246,-52.0357,-51.5266
0.01248,-51.7001,-51.3076
0.0125,-51.2892,-51.1825
0.01252,-50.8192,-50.9948
0.01254,-50.3191,-50.8071
0.01256,-49.8283,-50.5881
0.01258,-49.3925,-50.4004
0.0126,-49.0575,-50.1188
0.01262,-48.8616,-49.8372
0.01264,-48.8268,-49.6495
0.01266,-48.9522,-49.3992
0.01268,-49.2071,-49.0238
0.0127,-49.5285,-48.7422
0.01272,-49.8219,-48.492
0.01274,-49.9656,-47.9914
0.01276,-49.8203,-47.5847
0.01278,-49.241,-47.0841
0.0128,-48.0925,-46.4584
0.01282,-46.2657,-45.7389
0.01284,-43.6919,-44.6126
0.01286,-40.3566,-43.3612
0.01288,-36.3069,-40.2953
0.0129,-31.6551,-35.0081
0.01292,-26.5752,-28.5946
0.01294,-21.2928,-21.837
0.01296,-16.0709,-15.361
0.01298,-11.1896,-9.57325
0.013,-6.92519,-4.6302
0.01302,-3.52745,-1.06369
0.01304,-1.20008,0.969839
0.01306,-0.0844643,1.53297
0.01308,-0.249131,0.688273
0.0131,-1.68572,-1.56426
0.01312,-4.31167,-4.91177
0.01314,-7.97918,-9.13526
0.01316,-12.4894,-13.8906
0.01318,-17.61,-19.1465
0.0132,-23.0949,-24.4337
0.01322,-28.7028,-29.5957
0.01324,-34.2145,-34.6952
0.01326,-39.4459,-39.4818
0.01328,-44.2573,-44.112
0.0133,-48.5568,-47.9914
0.01332,-52.2998,-51.464
0.01334,-55.4836,-54.6238
0.01336,-58.1403,-57.4082
0.01338,-60.3261,-59.692
0.0134,-62.1118,-61.6317
0.01342,-63.5728,-63.2898
0.01344,-64.7812,-64.8228
0.01346,-65.7998,-65.9803
0.01348,-66.6786,-66.9815
0.0135,-67.4539,-67.9826
0.01352,-68.1484,-68.577
0.01354,-68.7738,-69.1401
0.01356,-69.3339,-69.6407
0.01358,-69.8272,-70.0787
0.0136,-70.2505,-70.3603
0.01362,-70.6009,-70.6731
0.01364,-70.8774,-70.8608
0.01366,-71.0818,-70.9547
0.01368,-71.2186,-70.986
0.0137,-71.2945,-71.1111
0.01372,-71.318,-71.0798
0.01374,-71.2981,-71.1424
0.01376,-71.2435,-71.1424
0.01378,-71.1624,-71.0798
0.0138,-71.0619,-71.1111
0.01382,-70.9474,-70.9234
0.01384,-70.8234,-70.8608
0.01386,-70.6932,-70.6731
0.01388,-70.559,-70.6418
0.0139,-70.4222,-70.4854
0.01392,-70.2836,-70.3603
0.01394,-70.1436,-70.1726
0.01396,-70.0023,-70.11
0.01398,-69.8597,-69.891
0.014,-69.7154,-69.7658
0.01402,-69.5693,-69.6094
0.01404,-69.4211,-69.4217
0.01406,-69.2704,-69.2653
0.01408,-69.117,-69.1089
0.0141,-68.9607,-69.015
0.01412,-68.8013,-68.8899
0.01414,-68.6387,-68.7334
0.01416,-68.4731,-68.4206
0.01418,-68.3047,-68.358
0.0142,-68.1337,-68.1077
0.01422,-67.9609,-67.92
0.01424,-67.7867,-67.7636
0.01426,-67.612,-67.6072
0.01428,-67.4375,-67.4195
0.0143,-67.264,-67.2943
0.01432,-67.0922,-67.1379
0.01434,-66.9225,-66.9502
0.01436,-66.7555,-66.7312
0.01438,-66.5911,-66.6373
0.0144,-66.4296,-66.4183
0.01442,-66.2708,-66.2306
0.01444,-66.1144,-66.0429
0.01446,-65.9601,-66.0116
0.01448,-65.8075,-65.8239
0.0145,-65.6562,-65.6362
0.01452,-65.5059,-65.5111
0.01454,-65.3563,-65.3859
0.01456,-65.2073,-65.1982
0.01458,-65.0586,-65.0731
0.0146,-64.9103,-64.9479
0.01462,-64.7624,-64.7289
0.01464,-64.615,-64.6351
0.01466,-64.4682,-64.4161
0.01468,-64.3221,-64.3848
0.0147,-64.1769,-64.1032
0.01472,-64.0327,-63.9781
0.01474,-63.8899,-63.8842
0.01476,-63.7485,-63.7591
0.01478,-63.6089,-63.634
0.0148,-63.4711,-63.5401
0.01482,-63.3356,-63.3837
0.01484,-63.2025,-63.196
0.01486,-63.0718,-63.0708
